,DummyClassifier,RandomForest_default
fit_time,0.03774938583374023,1.5842074871063232
score_time,0.014593935012817383,0.11207370758056641
test_accuracy,0.7591904454179904,0.8272780558708703
test_precision,0.0,0.6671380165492875
test_recall,0.0,0.5643418074686852
test_f1,0.0,0.6114352037195574
