,SHAP
education_num,0.06725282513800625
marital_status_Married-civ-spouse,0.06591086611529128
relationship_Husband,0.05007171588749076
age,0.04118301343166725
hours_per_week,0.03180156919661956
marital_status_Never-married,0.02645866440247517
occupation_Exec-managerial,0.022139675910524664
occupation_Prof-specialty,0.017664906071833724
sex_Male,0.012805042556225978
relationship_Wife,0.01146208024016553
